name,address,label,
タイトーステーション 池袋ロサ店,東京都豊島区西池袋1丁目37−12 1Ｆ,1,
タイトーステーション 池袋西口店,東京都豊島区西池袋1丁目15番9号 第一西池ビル,1,
アドアーズ 池袋東口店,東京都豊島区東池袋1丁目41−4 池袋とうきゅうビル 1～2Ｆ,1,
GiGO 池袋2号館,東京都豊島区東池袋1丁目21−1 ラグーン池袋ビル 地下2階,-2,
池袋ゲーセン ミカドｉｎランブルプラザ,東京都豊島区東池袋1丁目42−19,1,
東京レジャーランド 池袋店,東京都豊島区東池袋1丁目29−1 2階・3階 サントロペ池袋,2,
ゲームサファリ池袋,東京都豊島区東池袋1丁目42−3,1,
namco池袋店,東京都豊島区東池袋1丁目22−10 ヒューマックスパビリオン池袋サンシャイン60通り 1Ｆ,1,
GiGO 池袋1号館,東京都豊島区東池袋1丁目22−12,1,
池袋VEGAS（池袋ベガス）,東京都豊島区西池袋3丁目29−12 武蔵屋ビル Ｂ1,-1,
GiGO 池袋3号館,東京都豊島区東池袋1丁目1−4 1Ｆ～8Ｆ,1,
アドアーズ サンシャイン店,東京都豊島区東池袋1丁目14−4 1～3Ｆ 池袋佐々木ビル,1,
プラサカプコン 池袋店,東京都豊島区東池袋1丁目30−3 3階,3,
ラウンドワン 池袋店,東京都豊島区東池袋1丁目14−1,1,
にこはぴきっず 池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 7階,7,
KING（VR頭號プレイヤー),東京都豊島区東池袋1丁目31−16 東商ビル 3 5階,5,
X-STATION,東京都豊島区西池袋1丁目15−9 第一西池ビル Ｂ1Ｆ,-1,
プライズストリート＠サンシャインシティ,東京都豊島区東池袋3丁目1−3 サンシャインシティ ワールドインポートマートビル 3Ｆ,3,
NoEscape池袋店 リアル体験脱出ゲーム,東京都豊島区上池袋2丁目8−6,1,
イシバシ楽器 池袋店,東京都豊島区東池袋1丁目50−35 Ｐ’Ｐａｒｃｏ 7階,7,
ヤマハミュージック 池袋店,東京都豊島区南池袋1丁目25−11 第15野萩ビル,1,
クロサワ楽器池袋店 エレキ本館,東京都豊島区南池袋1丁目25−11 第15野萩ビル Ｂ1Ｆ,-1,
HMVエソラ池袋,東京都豊島区西池袋1丁目12−1 Ｅｓｏｌａ池袋 3Ｆ,3,
島村楽器 ミュージックサロン池袋,東京都豊島区西池袋3丁目27−12 池袋ウエストパークビル 6Ｆ,6,
クワトロ弦楽器,東京都豊島区西池袋3丁目23−7 西池サンケイビル 4Ｆ,4,
イケベ楽器 ロックハウスイケベ池袋（エレキギター / アンプ / マルチエフェクター / アクセサリー）,東京都豊島区東池袋1丁目36−1,1,
ヤマハいけぶくろ楽器㈱池袋西口センター,東京都豊島区西池袋3丁目30−6,1,
クロサワ楽器 池袋店アコースティック館,東京都豊島区南池袋2丁目26−6 島倉ビル Ｂ1,-1,
クロサワバイオリン 池袋店,東京都豊島区南池袋2丁目27−8 南水ビル Ｂ1,-1,
CDショップ 五番街,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 7Ｆ,7,
バンドスタジオ＆ピアノスタジオ ベースオントップ 池袋西口店｜BASS ON TOP,東京都豊島区西池袋3丁目30−13 岸野ビル4Ｆ,4,
㈱イケガク,東京都豊島区西池袋3丁目23−5 芦沢ビル 2Ｆ,2,
タワーレコード 池袋店,東京都豊島区東池袋1丁目50−35 池袋Ｐ＇パルコ 6Ｆ,6,
中古ピアノ買取販売 富士楽器,東京都豊島区南池袋1丁目10−13,1,
フジゲンカスタムハウス池袋,東京都豊島区東池袋1丁目30−12 城北自動車会館 2Ｆ,2,
イケベ楽器 GET STOMP（エフェクター専門店）,東京都豊島区東池袋1丁目36−1 Ｎｏ．2 Ｙ．Ｈビル Ｂ1Ｆ,-1,
ヤマノミュージックサロン池袋 山野楽器（ヤマハ大人の音楽教室）,東京都豊島区南池袋1丁目19−5 Ｇビル01 3Ｆ,3,
ミュージック・スタジオ・フォルテ池袋店,東京都豊島区南池袋1丁目26−9 第2Ｍ．Ｙ．Ｔ．ビル,1,
カワイ音楽教室 池袋センター,東京都豊島区東池袋1丁目27−8 池袋原ビル 2Ｆ,2,
くまざわ書店 池袋店,東京都豊島区西池袋1丁目11−1 ルミネ池袋店 6Ｆ,6,
旭屋書店 池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 7Ｆ,7,
三省堂書店 池袋本店,東京都豊島区南池袋1丁目28−1 地下1階・書籍館地下1階～1階 別館 西武池袋本店,-1,
ジュンク堂書店 池袋本店,東京都豊島区南池袋2丁目15−5,1,
文庫ボックス 大地屋書店,東京都豊島区西池袋3丁目29−12,1,
平和堂書店,東京都豊島区池袋2丁目76−1,1,
西武池袋本店 別館,東京都豊島区南池袋1丁目28−1,1,
天狼院書店「Esola池袋店」STYLE for Biz,東京都豊島区西池袋1丁目12−1 エソラ池袋 2Ｆ,2,
かねすえJR池袋駅店,東京都豊島区西池袋1丁目28−2,1,
池袋 三原堂,東京都豊島区西池袋1丁目20−4,1,
仙太郎 東武池袋店,東京都豊島区西池袋1丁目1−25 本館 Ｂ1 Ｔｏｂｕ Ｄｅｐａｒｔｍｅｎｔ Ｓｔｏｒｅ Ｉｋｅｂｕｋｕｒｏ,-1,
菓匠花見東武百貨店 池袋店,東京都豊島区西池袋1丁目1−25,1,
京やきぐり 池袋,東京都豊島区28 豊島区南池袋1－28－2 ＪＲ池袋駅Ｂ1Ｆ＿中央改札口外,-1,
叶 匠寿庵 東武池袋店,東京都豊島区西池袋1丁目1−25,1,
海鮮せんべい 池袋,東京都豊島区南池袋1丁目28−2 ＪＲ池袋駅構内中央改札外,1,
御菓子司 紅谷,東京都豊島区南池袋2丁目11−4 ‎ 紅谷菓子舗,1,
旬果瞬菓 共楽堂 西武池袋店,東京都豊島区南池袋1丁目28−1 西武池袋本店 地下1階,-1,
かねすえJR池袋駅北改札店,東京都豊島区1丁目 豊島区南池袋1－28－2 池袋駅Ｂ1Ｆ＿北改札外,-1,
鶴屋吉信 西武池袋本店,東京都豊島区南池袋1丁目28−1 西武池袋本店食品館 Ｂ1Ｆ,-1,
森八 西武池袋店,東京都豊島区南池袋1丁目28−1 地下1階 西武池袋本店,-1,
両口屋是清 東武池袋店,東京都豊島区西池袋1丁目1−25,1,
亀屋菓子舗,東京都豊島区池袋本町2丁目15−14,1,
スイーツボックス Ｅｃｈｉｋａ池袋店,東京都豊島区西池袋3丁目28−14,1,
鳴門鯛焼本舗 池袋西口店,東京都豊島区西池袋5丁目1−7,1,
叶 匠寿庵 西武池袋本店,東京都豊島区南池袋1丁目28−1 西武池袋本店食品館Ｂ1Ｆ,-1,
松月堂,東京都豊島区西池袋1丁目1−25,1,
とらや 池袋西武店,東京都豊島区南池袋1丁目28−1 西武食品館地下 1Ｆ,-1,
全国銘菓撰,東京都豊島区西池袋1丁目1−25,1,
もみの手池袋西口駅前店,東京都豊島区西池袋1丁目20−6 広瀬ビル Ｂ1,-1,
POWWOW 西武池袋店,東京都豊島区南池袋1丁目28−1 7階 南Ｂ11 西武池袋本店,7,
SSCマッサージ 池袋西口店,東京都豊島区西池袋1丁目26−3 池袋津村ビル 4Ｆ,4,
クイーンズウェイ 池袋西口地下街,東京都豊島区西池袋1丁目1−36 池袋西口地下街 Ｂ1Ｆ 池袋駅 近くのマッサージ 指圧 足つぼ ヘッドスパ,-1,
もみの匠 池袋店,東京都豊島区東池袋1丁目3−6 三治ビル 8階,8,
リフレッシュ池袋西口店,東京都豊島区池袋2丁目1−1 杉山ビル 2Ｆ,2,
リフレッシュ 池袋東武ホープ店,東京都豊島区西池袋1丁目1−30 池袋東武ホープセンターノースゾーン,1,
クイーンズウェイ 池袋東武店,1丁目－1－25 西池袋 豊島区 東京都 171－0021 日本,1,
もみの匠 池袋西口店,東京都豊島区西池袋1丁目15−7 ベルビル 6階,6,
SSCマッサージ 池袋東口店,東京都豊島区東池袋1丁目7−10 2Ｆ,2,
ほぐしの森 池袋店,東京都豊島区東池袋1丁目40−2 近代グループＢＬＤ 8号館4階,4,
指ラックス 池袋店,東京都豊島区西池袋1丁目20−6 広瀬ビル 7Ｆ,7,
